ID,Type,Utterance,Dialog_Act,translated_Utterance
163_0,T,"Hey Michelle, how are you doing today?",gt,سلام میشل، امروز حالت چطوره؟
163_1,P,"Umm I am kind of doing, I'm feeling a little bit stressed out",gt,امم، من دارم کار می کنم، احساس می کنم کمی استرس دارم.
163_2,T,stressed?,irq,استرس داری؟
163_3,P,"Yeah, I feel like I have a lot on my plate. I have this test that I have to take for work.",id,آره، احساس ميکنم که خيلي چيزا روي سر من هست، من يه آزمون دارم که بايد براي کار انجام بدم.
163_4,T,What kind of test?,irq,چه نوع آزمونی؟
163_5,P,It's like an aptitude test. It has like math problems on it and like scenarios in order for me to move up to the system manager position.,id,این مثل یک آزمون استعداد است. این مثل مسائل ریاضی بر روی آن و مانند سناریوهای برای من برای حرکت به سمت مدیر سیستم است.
163_6,T,"Now, that's a job that you've been interested in for a while.",irq,حالا، این کاریه که مدتی است که به آن علاقه مند هستی.
163_7,P,"Yes. Yes. So I've been just feeling a lot of anxiety about taking the test and then they actually scheduled for me to take the test. And I want and I just got really overwhelmed. And I started like I felt my heart was racing. I felt like I wish my hands were shaking. And I just really couldn't concentrate on the test. Even though the night before me and my friend that practice problems, and I knew all the answers with no proper like, I didn't miss any of the questions",id,بله، بله، من احساس اضطراب زیادی در مورد انجام آزمون کردم و سپس آنها در واقع برای من برنامه ریزی کردند تا آزمون را انجام دهم، و من می خواهم و من واقعا غرق شدم، و من شروع کردم، احساس کردم که قلبم در حال مسابقه است، احساس کردم که کاش دست هایم می لرزید، و من واقعا نمی توانستم بر روی آزمون تمرکز کنم، حتی اگر شب قبل من و دوستم که مشکلات تمرین می کردند، و من همه پاسخ ها را بدون هیچ چیز درست می دانستم، من هیچ یک از سوالات را از دست ندادم.
163_8,T,so you know the material on this test pretty well?,ynq,پس تو مواد اين آزمون رو خيلي خوب ميشناسي؟
163_9,P,yes.,yna,بله، بله
163_10,T,"But the feelings and that the physiological response to heart rate and sweating, that feelings of anxiety plus those physiological responses they got in the way of you completing it, like you were unable to complete it.",gc,اما احساسات و پاسخ فیزیولوژیکی به ضربان قلب و عرق کردن، احساس اضطراب و پاسخ های فیزیولوژیکی که در راه تکمیل آن قرار می گرفت، مثل اینکه شما قادر به تکمیل آن نبودید.
163_11,P,"No, I wasn't able to complete it. And thankfully, they gave me a chance to come back. I just told him I didn't feel well. So they rescheduled so now I'm feeling a lot of anxiety because I'm scared the same thing is gonna happe, when I go back.",gc,نه، نتونستم اونو تموم کنم. و خوشبختانه، اونا به من فرصت برگشتن دادن. فقط بهش گفتم که حالم خوب نیست. پس اونا برنامه رو تغییر دادن، پس حالا من احساس اضطراب زیادی می کنم چون می ترسم همان اتفاقی بیفته، وقتی برگردم.
163_12,T,So you weren't you weren't feeling great about taking the test in the first place?,irq,پس تو از اول احساس خوبی در مورد انجام تست نداشتی؟
163_13,P,"Today, the night before, I felt like I know all the answers, but the minute I walked into the room, all of a sudden, all these fears kind of took over. ",id,امروز، شب قبل، احساس کردم که همه ی جواب ها را می دانم، اما لحظه ای که وارد اتاق شدم، ناگهان، همه ی این ترس ها به نوعی بر من غلبه کردند.
163_14,T,But did you know that was coming?,ynq,اما آیا می دانستید که این اتفاق می افتد؟
163_15,P,"Yes, ",yna,بله، بله
163_16,T,you did ?Okay.,irq,تو انجام دادي؟
163_17,P,Yes.,id,بله، بله.
163_18,T,So you had some anxiety in advance?,irq,پس از قبل يه کم نگران بودي؟
163_19,P,"Yes, ",id,بله، بله
163_20,T,"or no, you did. Okay.",gc,یا نه، تو کردی.
163_21,P,"I had some anxiety the day before. But when I reviewed it with my friend, I'm like, Oh, I know the answers. I thought that would kind of push it down. But I think once I got there, it all came back up to the surface,",id,من یک روز قبل اضطراب داشتم. اما وقتی آن را با دوستم بررسی کردم، مثل این بودم، اوه، من پاسخ ها را می دانم. فکر می کردم که این به نوعی آن را پایین می آورد. اما فکر می کنم هنگامی که به آنجا رسیدم، همه چیز به سطح بازگشت.
163_22,T,"erupt in that moment, and that prevented you. What do you think is leading to this?",gc,در آن لحظه فوران کرد و این مانع از شما شد. به نظر شما چه چیزی منجر به این می شود؟
163_23,P,"Well, I've always kind of struggled with tests. I'm like, I can remember when I was in third grade, I had to take this test, because I was really struggling in math. And I had to pass this test in order to move to the next grade. And I thought just like this test that I was ready for it, I had a tutor, and I felt really prepared for it. And then when I took it, I failed. And I was held back. And I feel like, you know, that was so it was, it was really embarrassing for me to be held back. And I felt like I don't want to say but I did feel like a failure at the time. Because I felt like I really didn't know this. I don't know why I couldn't pass the test.",id,من همیشه با آزمون ها مشکل داشتم، یادم می آید که وقتی در کلاس سوم بودم، مجبور بودم این آزمون را انجام دهم، چون در ریاضیات خیلی مشکل داشتم، و باید برای عبور از آن به کلاس بعدی امتحان را می دادم، و من هم به همین ترتیب برای امتحان آماده بودم، یک مربی داشتم و احساس کردم که برای آن آماده هستم، و وقتی امتحان را گرفتم، شکست خوردم، و به من عقب نشینی شد، و احساس می کردم که این طوری بود، خیلی شرم آور بود که به من عقب نشینی شد، و احساس کردم که نمی خواهم بگویم، اما در آن زمان احساس شکست خوردم، چون واقعا نمی دانم چرا نتوانستم از این امتحان عبور کنم.
163_24,T,And since that this was third grade.,gc,و از اون موقع تا کلاس سوم
163_25,P,Yeah.,ack,آره، آره
163_26,T,And since that bad testing experience. Have you had trouble with tests since?,ynq,و از اون تجربه ي آزمايش بد، از اون موقع تا حالا با آزمايش ها مشکل داشتي؟
163_27,P,"Yes, I always feel really anxious. I mean, I'm able to pass tests obviously because I graduated from college. School went on to high school. But it's so hard for me because of this anxiety that I feel that even though I may think I know it, I may still fail the test anyway, maybe like a repeat of what happened.",yna,بله، من همیشه احساس اضطراب می کنم. منظورم این است که من قادر به گذراندن آزمون ها هستم، به طور واضح، چون از کالج فارغ التحصیل شدم. مدرسه به دبیرستان ادامه یافت. اما به دلیل این اضطراب برای من خیلی سخت است که احساس می کنم که حتی اگر فکر کنم آن را می دانم، هنوز هم ممکن است در آزمون شکست بخورم، شاید مانند تکرار آنچه اتفاق افتاده است.
163_28,T,"Alright, so in third and third grade, you had a really bad testing experience. And as you move forward from there, you've never really been thrilled about taking tests ",irq,خوب، در کلاس سوم و سوم، شما یک تجربه تست بسیار بد داشتید. و همانطور که از آنجا به جلو می روید، شما هرگز واقعا از انجام تست ها هیجان زده نشده اید
163_29,P,no,id,نه، نه
163_30,T,"But you've been able to adapt. You've been able to take them and still, like pass them.",ynq,اما تو توانستي انطباق پيدا کني. تو توانستي اونا رو بگيري و هنوز هم، مثل، ازشون رد بشي.
163_31,P,"Yeah, I mean, sometimes I get an A. ",yna,"آره، منظورم اینه که گاهی اوقات من نمره ی ""A"" می گیرم"
163_32,T,"So that's, that's good, right? ",irq,پس این خوبه، درسته؟
163_33,P,"Yeah. I mean, yeah, it is good. Yeah, it's good.",id,آره، منظورم اینه که آره، خوبه.
163_34,T,"But this particular test, which is not for scorches for work, yeah, this one, this is more of a stumbling block for you.",gc,اما این آزمایش خاص، که برای کار سوزانده نشده است، بله، این یکی، این بیشتر از یک سنگ آشیانه برای شما است.
